energy_bin,compton_probability,pair_probability,photoelectric_probability,compton_count,pair_count,photoelectric_count,signal_count
0.5,1,0,0,0,0,0,0
1.0,1,0,0,0,0,0,0
1.5,0.979123375054366,0.0182934062023609,0.00199891926562781,222871,4164,455,227623
2.5,0.903835928822932,0.0937743696386795,0.00215338989058771,305981,31746,729,338536
3.5,0.824655575357231,0.173476901405445,0.00165942779088008,154552,32512,311,187414
4.5,0.755751723048364,0.242500543081146,0.00162924343859233,76538,24559,165,101274
5.5,0.70012659170452,0.298318936629682,0.00147069774368903,75216,32049,158,107432
6.5,0.650187989926578,0.348623771858263,0.00115276841769234,73323,39315,130,112772
7.5,0.605688950797116,0.393300321903904,0.000968259765409345,71312,46306,114,117737
8.5,0.572072516697924,0.426817030237226,0.0010693251735597,69548,51889,130,121572
9.5,0.532498269227673,0.46661621934923,0.00083721080001932,66148,57964,104,124222
10.5,0.501195388876177,0.498110259829411,0.000654899516321201,63520,63129,83,126737
11.5,0.471207483257455,0.528155445406094,0.000613763848532405,60651,67981,79,128714
12.5,0.444142627592012,0.555237585125105,0.000589180503481521,58045,72564,77,130690
13.5,0.419706174581143,0.579565708738159,0.00072053213194081,55337,76414,95,131847
14.5,0.397381356823956,0.602039895975828,0.000571231002811058,52870,80099,76,133046
15.5,0.376622115305596,0.622698034410884,0.000657437636810531,50412,83350,88,133853
16.5,0.360862929872131,0.638670341230683,0.000437095316412559,48710,86209,59,134982
17.5,0.343525299232284,0.655943715568929,0.000516235609932373,46581,88944,70,135597
18.5,0.32811411389388,0.671453192035496,0.000429027171720876,89480,183112,117,272710
19.5,0.314760961851806,0.684881010660451,0.000354374146031375,86157,187467,97,273722
20.5,0.324002115500448,0.675997884499552,0,1,2,3,4
21.5,0.316315851105874,0.683684148894126,0,1,2,3,4
22.5,0.307944328837414,0.692055671162586,0,1,2,3,4
23.5,0.300126896631967,0.699873103368033,0,1,2,3,4
24.5,0.293621671696666,0.706378328303334,0,1,2,3,4
25.5,0.287941881636111,0.712058118363889,0,1,2,3,4
26.5,0.283062051267264,0.716937948732736,0,1,2,3,4
27.5,0.275015803235353,0.724984196764647,0,1,2,3,4
28.5,0.269836265271757,0.730163734728243,0,1,2,3,4
29.5,0.266487568854083,0.733512431145917,0,1,2,3,4
30.5,0.262444726666026,0.737555273333974,0,1,2,3,4
31.5,0.258150909484856,0.741849090515144,0,1,2,3,4
32.5,0.252813772939523,0.747186227060477,0,1,2,3,4
33.5,0.251646512154639,0.748353487845361,0,1,2,3,4
34.5,0.247599545903048,0.752400454096952,0,1,2,3,4
35.5,0.241955136105927,0.758044863894073,0,1,2,3,4
36.5,0.239309790426762,0.760690209573238,0,1,2,3,4
37.5,0.23810242708732,0.76189757291268,0,1,2,3,4
38.5,0.233863624378153,0.766136375621847,0,1,2,3,4
39.5,0.23129325524489,0.76870674475511,0,1,2,3,4
40.5,0.22910075710597,0.77089924289403,0,1,2,3,4
41.5,0.227424784236412,0.772575215763588,0,1,2,3,4
42.5,0.223839832138486,0.776160167861514,0,1,2,3,4
43.5,0.221477869676987,0.778522130323013,0,1,2,3,4
44.5,0.220761120286553,0.779238879713448,0,1,2,3,4
45.5,0.216555966501167,0.783444033498833,0,1,2,3,4
46.5,0.215469536393897,0.784530463606104,0,1,2,3,4
47.5,0.213485251157078,0.786514748842922,0,1,2,3,4
48.5,0.211456815816857,0.788543184183143,0,1,2,3,4
49.5,0.209731130816865,0.790268869183135,0,1,2,3,4
49.5,0.209731130816865,0.79,0,1,2,3,4
